FTHG,FTAG,HTGS,ATGS,HTGC,ATGC,HTP,ATP,MW,HTFormPts,ATFormPts,HTWinStreak3,HTWinStreak5,HTLossStreak3,HTLossStreak5,ATWinStreak3,ATWinStreak5,ATLossStreak3,ATLossStreak5,HTGD,ATGD,DiffPts,DiffFormPts
1.77931034482759,0.755458515283843,10.2058823529412,10.4642857142857,12.4840182648402,12.9867841409692,0.982911759660498,0.898746359895632,10.9423868312757,3.9,4.54109589041096,0,0,0,0,0,0,0,0,-0.266009652181368,-0.620477514442214,0.00352936469437829,-0.0420575006724649
0.583333333333333,1.52966101694915,11.0366972477064,13.4,13.9671361502347,13.7716894977169,1.20402952463017,1.04566189460343,11.44140625,8.27272727272727,5.8955223880597,0,0,0,0,0,0,0,0,-0.454805230354717,-0.213169935661947,0.194464095719347,0.0820186275170064
2.49180327868852,0.732323232323232,12.2418032786885,16.2582417582418,13.873786407767,12.8995815899582,1.15631976184326,1.47623073647191,12.0150943396226,7.46315789473684,8.02247191011236,0,0,0,0,0,0,0,0,-0.0790053197687809,0.280479063888279,-0.343709203981886,-0.00125335444238613
0.592592592592593,0.508695652173913,13.48046875,16.7354497354497,12.2920353982301,11.3886255924171,1.18188286528831,1.25869394916194,13.375,5.05555555555556,8.85714285714286,0,0,0,0,0,0,0,0,-0.0844813309117714,0.121050468355061,-0.0271510344297669,-0.269221989188418
0.64,0.5,14.4921875,15.8484848484848,12.0044444444444,11.6334841628959,1.20290282208555,1.47091044812921,14.4163424124514,9.15384615384615,6.07258064516129,1,0,0,0,0,0,0,0,-0.000443725969941825,0.317931921372352,-0.239971846013587,0.155434746618358
1.77894736842105,0.5,18.0536585365854,17.1034482758621,11.5162790697674,12.6727272727273,1.20693085377372,1.23917487763241,15.4124513618677,9.21052631578947,5.84782608695652,1,0,0,0,0,0,0,0,0.0332052814152525,0.114304964407416,-0.108144997191268,0.125912586967061
0.542857142857143,0.5,21.1699029126214,17.2374429223744,14.2698412698413,13.9363636363636,1.94766685500297,1.25777154862298,15.984962406015,9.5,9.46268656716418,0,0,0,0,0,0,0,0,0.726280316101058,0.0578085665293831,0.488596668152758,-0.0137905356706085
3.46428571428571,0.5,21.4031413612565,17.1012658227848,17.0529100529101,14.9686098654709,1.19488322593314,1.24812061156538,17.2906976744186,6.64179104477612,8.1864406779661,0,0,0,0,0,0,0,0,-0.00648882832541519,0.0488212068566288,-0.0158418781795914,-0.0270822253878268
0.585365853658537,0.478260869565217,19.6137566137566,26.1538461538462,18.209756097561,20.3709677419355,1.18530197622604,1.14056358650851,18.6254826254826,5.94021739130435,7.53846153846154,0,0,0,0,0,0,0,0,-0.0754628172156412,-0.017415595308958,0.0546738816408029,-0.0159068534975611
1.77894736842105,2.48148148148148,16.1932773109244,37.2558139534884,23.6666666666667,23.1005025125628,1.1485024216242,1.45471417100031,20.0335820895522,5.51832460732984,10.04,0,0,0,0,0,0,0,0,-0.0749888758271279,0.632544640718534,-0.294582776518204,-0.127618407136849
0.588235294117647,0.708333333333333,17.1565217391304,27.25,28.6402877697842,23.5355191256831,1.05396410558316,1.21728087966011,20.9925650557621,5.81538461538462,5.41304347826087,0,0,0,0,0,0,0,0,-0.713040043923089,-0.0945139301896893,-0.239973179077069,0.0298874596950006
1.78616352201258,0.762463343108504,18.5669642857143,20.0043859649123,26.0075757575758,25.3559322033898,1.25251916670669,1.09913911191613,21.9924528301887,6.49753694581281,4.30769230769231,0,0,0,0,0,0,1,0,-0.0319883102155009,-0.295659555232816,0.234363572355116,0.0468197683346529
1.0704845814978,0.775800711743772,21.6568047337278,21.4529147982063,25.2430939226519,23.9386503067485,1.15201103788016,1.24429518663203,22.9925093632959,6.27868852459016,7.31707317073171,0,0,0,0,0,0,0,0,-0.202390419438891,-0.0859395433389553,-0.118345619607047,-0.0173293021995365
1.02380952380952,0.508695652173913,26.0914634146341,24.5054347826087,28.1916167664671,22.0504587155963,1.077088025594,1.22101769775468,24.0223880597015,10.377358490566,7.05223880597015,0,0,0,0,0,0,0,0,-0.141859148700615,-0.0445987734325202,-0.174741044208909,0.0511390127541891
0.588235294117647,0.5,24.609756097561,28.36,25.6802721088435,26.9050279329609,1.19368186422274,1.31008405094554,25.0074626865672,6.97777777777778,8.00952380952381,0,0,0,0,0,0,0,0,-0.0903541332227159,-0.00549995577289266,-0.108486275321769,-0.019851218957643
1.72916666666667,0.506382978723404,22.5535714285714,28.7177914110429,25.0568181818182,29.1757575757576,1.23474833127783,1.0826037359837,26.0111940298507,7.40909090909091,4.06666666666667,0,0,0,0,0,0,0,0,-0.0436668584944823,-0.086758168042539,0.232529074859259,0.0426664326436541
1.70454545454545,0.76056338028169,31.1063829787234,26.4968944099379,29.7670454545455,26.5208333333333,1.11626384414634,1.23054476101558,26.5503875968992,8.19607843137255,4.99310344827586,0,0,0,0,0,0,0,0,-0.237863263355495,-0.0487421220755639,-0.102555444974365,0.0305032400200114
3.40540540540541,0.755458515283843,43.4285714285714,29.7252747252747,30.0804597701149,22.1924882629108,1.76935985694151,1.19405078952781,27.5057915057915,9.86363636363636,5.28571428571429,0,0,0,0,0,0,0,0,0.647298209781553,0.0340690237060362,0.484678124202745,0.0686285646977345
0.384615384615385,1.5741935483871,35,37.9294117647059,28.8333333333333,24.2879581151832,1.21086578785257,1.67863885449734,27.62109375,5.25925925925926,11.3333333333333,0,0,0,0,0,0,0,0,-0.136450876644147,0.451786824362907,-0.402267364662258,-0.125428417945076
