FTHG,FTAG,HTGS,ATGS,HTGC,ATGC,HTP,ATP,MW,HTFormPts,ATFormPts,HTWinStreak3,HTWinStreak5,HTLossStreak3,HTLossStreak5,ATWinStreak3,ATWinStreak5,ATLossStreak3,ATLossStreak5,HTGD,ATGD,DiffPts,DiffFormPts
0.9,1.74871794871795,13.0925266903915,13.7589928057554,10.6216216216216,9.84158415841584,0.987867532769272,1.7693013201718,10.882005899705,6.26271186440678,10.1214953271028,0,0,0,0,0,0,0,0,-0.0747291496986544,0.676944320818061,-0.722440567744229,-0.247460416577724
4.5,0.526748971193416,13.969387755102,14.9121621621622,11.9931506849315,10.4600638977636,1.84326268634475,1.16209881623289,11.4792243767313,10.3,5.54545454545455,0,0,0,0,0,0,0,0,0.70227794392647,-0.202744890565786,0.69399647751483,0.485338182947308
0.411764705882353,0.925925925925926,15.9714285714286,16.7871621621622,13.4099616858238,16.0645161290323,1.01839600891959,1.85033214512481,11.920424403183,4.97058823529412,11.6666666666667,0,0,0,0,0,0,0,0,-0.141338647321166,0.893375619939065,-0.941610464703388,-0.722979797979798
0.648648648648649,0.52991452991453,17.125,18.1015873015873,14.1791044776119,21.3798449612403,1.87224049461501,0.702805693156465,12.5555555555556,11.5694444444444,2.82608695652174,0,0,0,0,0,0,0,0,0.882482962444676,-0.625544390510437,1.14845657281249,0.824063116370809
1.82722513089005,0.505747126436782,17.3105802047782,19.48,16.4816176470588,15.0683760683761,1.1726567333049,1.87497281673484,13.6335877862595,7.44578313253012,11.45,0,0,0,0,1,0,0,0,-0.274518328729547,0.856064525707392,-0.700242598145873,-0.32962037962038
1.08921933085502,0.505747126436782,17.9561128526646,20.7352024922118,16.703557312253,14.8248847926267,1.5581946052343,1.79827809376716,14.6936708860759,8.08433734939759,9.63917525773196,0,0,0,0,1,0,0,0,0.30693104592006,0.782277194634042,-0.34001070288271,-0.024733111357394
0.9,0.505747126436782,20.0455927051672,19.0390879478827,14.5610687022901,18.4009009009009,1.79274577418882,1.22634551982347,15.5433673469388,9.30813953488372,7.46111111111111,1,0,0,0,0,0,0,0,0.730938544691487,-0.244753799099784,0.572238615929276,0.0455595242017116
4.48936170212766,0.514893617021277,21.0723270440252,20.2178571428571,16.9078341013825,16.4095744680851,1.70362217635218,1.51677541166515,16.4267676767677,7.3416149068323,7.2316384180791,0,0,0,0,0,0,0,0,0.698847379096165,0.270859928424628,0.284597935074374,-0.0172681866924983
0.9,0.925925925925926,24.1842105263158,25.9496124031008,21.6387665198238,12.1570512820513,1.38711305629131,1.79777050931025,17.5482233502538,7.26285714285714,7.2316384180791,0,0,0,0,0,0,0,0,-0.0405074215431667,0.793060619340989,-0.460793835646168,-0.00639765548991986
3,0.535483870967742,28.2830188679245,26.872,21.4894736842105,11.4595375722543,1.60580509628053,1.78307446250543,18.5746835443038,6.57225433526012,7.19254658385093,0,0,0,0,0,0,0,0,0.525601455399967,0.785907959105656,-0.219659787959401,-0.0148095574365888
5.66666666666667,0.897435897435897,28.1146245059289,22.3092369477912,18.0176991150442,12.6706948640483,1.76817571605374,1.6637299556889,19.23273657289,7.21468926553672,8.64,0,0,0,0,0,0,0,0,0.785269602069804,0.385021638040342,0.142469427084739,-0.0143765831359846
1.78947368421053,1.68273092369478,26.3245283018868,23.5146443514644,21.4812030075188,14.8924050632911,1.71150487631373,1.58040892269226,19.9275,7.52671755725191,10.9739130434783,0,0,0,0,1,0,0,0,0.700791007380854,0.0692859698397157,0.19006298682768,-0.0510727088837785
1.08921933085502,0.526748971193416,26.7772925764192,32.5135135135135,29.55,19.402489626556,1.22816930855447,1.7575661118227,20.8291457286432,5.19047619047619,9.53571428571429,0,0,0,0,0,0,0,0,-0.306551523064999,0.754878285339415,-0.52119655892407,-0.0809191606789927
1.14427860696517,0.925925925925926,31.2926829268293,35.4705882352941,24.6666666666667,23.0938775510204,1.76911511280075,1.36109854304847,21.790404040404,7.98319327731092,9.48148148148148,0,0,0,0,0,0,0,0,0.843762383517057,0.483904495097582,0.442999870730652,-0.0120471479802905
0.64804469273743,0.52991452991453,27.2513966480447,34.0384615384615,22.8082191780822,26.4140625,1.50032184554253,1.77571627349665,22.831234256927,6.87704918032787,6.16,0,0,0,0,0,0,0,0,-0.0648611770071685,0.701783980245664,-0.34063525157325,0.00257709841776899
1.81021897810219,0.514893617021277,31.7460317460317,24.3988764044944,27.4552845528455,35.5871559633027,1.76227867829653,0.944764487008637,23.821608040201,5.99145299145299,5.23255813953488,0,0,0,0,0,0,0,0,0.73194782837543,-0.631924918595235,0.794086532080048,-0.0025608617761156
0.605714285714286,0.925925925925926,27.3803680981595,34.570652173913,37.1553398058252,27.8803418803419,1.01298066091365,1.73270766375209,24.8869346733668,5.92982456140351,6.34905660377358,0,0,0,0,0,0,0,0,-0.518703047298289,0.727106591642426,-0.684886736482836,-0.0155334214960902
0.888888888888889,0.535483870967742,41.3333333333333,36.1752136752137,25.8048780487805,28,1.75407368059588,1.54840545330741,26.2148337595908,6.20454545454545,6.14130434782609,0,0,0,0,0,0,0,0,0.785732723750199,0.179979424216415,0.183949554782072,-0.0108712190977808
5.25,0.925925925925926,53.6269841269841,38.6933333333333,19.3962962962963,25.9263157894737,1.95818799713655,1.75311072199643,26.9052631578947,11.4576271186441,10.4912280701754,1,0,0,0,0,0,0,0,1.10522438246272,0.660604257221339,0.383839831307494,-0.00610958203232504
