FTHG,FTAG,HTGS,ATGS,HTGC,ATGC,HTP,ATP,MW,HTFormPts,ATFormPts,HTWinStreak3,HTWinStreak5,HTLossStreak3,HTLossStreak5,ATWinStreak3,ATWinStreak5,ATLossStreak3,ATLossStreak5,HTGD,ATGD,DiffPts,DiffFormPts
1,1.65,18.890625,10.9720670391061,10.5911949685535,10.251497005988,1.63915793410639,1.24373143206935,10.8146341463415,10.3913043478261,3.52272727272727,0,0,0,0,0,0,0,0,0.830571428571428,0.217866766834112,0.282631280014145,1
2.56435643564356,1.53636363636364,17.5798319327731,11.7956989247312,10.4476744186047,11.3220338983051,1.62819132610597,1.17562833661972,11.3240740740741,10.6666666666667,3.09195402298851,1,0,0,0,0,0,0,0,0.246885521885522,-0.0500676911061435,0.380929241025544,1.14285714285714
1.48979591836735,1.53636363636364,12.1791044776119,13.7239583333333,12.4709302325581,12.960396039604,1.21749188317693,1.20925224359137,11.9082969432314,5.39285714285714,6.2906976744186,0,0,0,0,0,0,0,0,-0.0643735907882214,-0.024240503199154,0.106528598001368,-0.175541125541126
1.109375,1.5981308411215,12.8285714285714,15.1683673469388,14.5967741935484,12.8955223880597,0.917087615077302,1.18132224614977,12.3640167364017,4,4.81944444444444,0,0,0,0,0,0,0,0,-0.342427914948307,-0.0471703087704417,-0.478102517949287,0.0301593120750307
0.638297872340426,0.516949152542373,15.959595959596,15.5671641791045,15.5549738219895,12.9471153846154,1.18728555668759,1.21263237706239,13.6413502109705,4.62962962962963,9.04918032786885,0,0,0,0,0,0,0,0,-0.101208178426028,0.0151598235251736,-0.0153847479706001,-0.230294958454808
2.48275862068966,1.52459016393443,15.7320261437908,16.4771573604061,17.8895027624309,13.6384976525822,1.30480261608145,1.21850592062588,14.4723404255319,8.65454545454545,7.75,0,0,0,0,0,0,0,0,0.0173105737670839,-0.035332405461845,0.100415306003876,0.108575607709932
0.986111111111111,0.474137931034483,15.2317880794702,17.6262626262626,19.8248587570621,14.4724770642202,0.947729413456877,1.23435063805567,15.4808510638298,4.86792452830189,7.64444444444444,0,0,0,0,0,0,0,0,-0.549777098356303,-0.0452916720595916,-0.511276719614536,-0.0686992935045693
0.5625,0.525714285714286,17.3899371069182,18.1990049751244,17.6165413533835,16.5621890547264,1.18360946457653,1.13850574661507,16.4978723404255,5.27027027027027,7.58536585365854,0,0,0,0,0,0,0,0,-0.121950342973867,-0.0968690049231034,0.0913214139861304,-0.0479695788708515
4.30769230769231,0.89873417721519,20.8128078817734,21.1761363636364,16.9225806451613,17.2741935483871,1.35169267997145,1.174361699549,17.6652542372881,7.24615384615385,5.49462365591398,0,0,0,0,0,0,0,0,0.293944091002444,-0.0830306407065333,0.253522328399982,0.0619733967599638
0.785714285714286,2.42857142857143,21.160621761658,20.8070175438597,21.4202898550725,22.0406504065041,1.13476957073202,1.52645809562447,19.0897959183673,2.7037037037037,7.42424242424242,0,0,0,0,0,0,0,0,-0.204643462116376,0.362555177931029,-0.442222164890133,-0.0922514543547699
1.69465648854962,1.53521126760563,23.5609756097561,19.2053571428571,24.6730769230769,29.128,1.13638183478787,0.916724735568785,20.0971659919028,2.24561403508772,4.92727272727273,0,0,0,0,0,0,0,0,-0.251977475674517,-0.728859263113026,0.15330242407083,-0.0457154901771305
1.05357142857143,0.886075949367089,25.5714285714286,22.6021505376344,23.8698630136986,28.8018018018018,1.63200995408377,1.09833286384705,21.0573770491803,4.91935483870968,3.28846153846154,0,0,0,0,0,0,0,0,0.219598173177019,-0.350465125268155,0.557241644300923,0.0614789362721656
1.62234042553191,1.53080568720379,24.5138888888889,28.1710526315789,29.1164383561644,25.1203007518797,1.06586060524557,1.35728558890219,22.1102040816327,4,8,0,0,0,0,0,0,0,0,-0.270099009716718,0.356783296808722,-0.366408221813154,-0.083681191288326
1.109375,0.961538461538462,22.9081081081081,32.5263157894737,32.2151162790698,30.1294964028777,1.06727130125498,1.09615534834543,23.1491935483871,4.3302752293578,5,0,0,0,0,0,0,0,0,-0.288744191876557,-0.165098815543543,0.157849693899809,0.0518582061127529
0.638297872340426,3.45833333333333,30.3098591549296,47.8461538461538,33.4203821656051,34.1280487804878,1.13898445082715,1.71916072465088,24.0483870967742,4.61344537815126,13.375,0,0,0,0,1,1,0,0,-0.219483238877784,0.78069516567481,-0.701352993996756,-0.221988768655552
2.48275862068966,1.75,38.0952380952381,32.2727272727273,32.8811188811189,37.6233766233766,1.68825909002496,1.05495440934481,24.9880478087649,6.5531914893617,4.81818181818182,0,0,0,0,0,0,0,0,0.294121071703035,-0.324665441002568,0.584923439361925,0.0816655653538808
0.986111111111111,0.474137931034483,33.4512195121951,27.6432432432432,38.4153846153846,39.294964028777,1.03238739753171,1.15702387864191,26.028,3.96551724137931,5.728,0,0,0,0,0,0,0,0,-0.367129013252181,-0.36297609141716,-0.200843227685624,-0.0357653450984082
0.627450980392157,0.525714285714286,28.9823529411765,29.0337078651685,39.6666666666667,39.6204379562044,1.10800408078875,1.08129659287247,26.6150627615063,5.0625,4.75438596491228,0,0,0,0,0,0,0,0,-0.271755836390179,-0.319791121328421,0.0869006354081802,-0.00559588575396707
1.12418300653595,0.850574712643678,26.985401459854,29.9590643274854,38.6190476190476,37.8592592592593,1.08305657682876,1.0368559999991,27.1228070175439,5.14,2.39705882352941,0,0,0,0,0,0,1,0,-0.292737583181275,-0.191595321619174,0.0944770015266554,0.0419330127128666
