FTHG,FTAG,HTGS,ATGS,HTGC,ATGC,HTP,ATP,HTFormPts,ATFormPts,HTWinStreak3,HTWinStreak5,HTLossStreak3,ATWinStreak3,ATWinStreak5,ATLossStreak3,ATLossStreak5,HTGD,ATGD,DiffPts,DiffFormPts
0.97979797979798,1,8.79439252336449,9.77391304347826,12.6259541984733,12.3740458015267,0.98759578143458,1.05848473588542,5.84848484848485,6.25373134328358,0,0,0,0,0,0,0,-0.568873456826275,-0.223831046199405,-0.0985978121262541,-0.0288154954604911
0.551020408163265,2,9.63716814159292,9.2991452991453,11.6532258064516,14.4318181818182,1.09048345320842,0.898539803156321,6.58252427184466,3.29545454545455,0,0,0,0,0,0,0,-0.173440202587568,-0.625331788323348,0.185269197172605,0.223470667658775
2.48,1,12.6448598130841,10.2377049180328,11.4117647058824,15.3149606299213,1.08235827741487,0.912505296137342,6.53333333333333,3.41666666666667,0,0,0,0,0,0,0,-0.254012909507045,-0.519846285171462,0.166921464178033,0.19752742046099
2.41666666666667,0,14.8857142857143,12.0222222222222,12.359375,15.3720930232558,1.35941010678504,1.09733979133571,6.53333333333333,6.29411764705882,0,0,0,0,0,0,0,0.45481305566763,-0.194727820300796,0.21801341053562,-0.0036471755602474
0.416666666666667,0,13.0246913580247,13.2105263157895,13.8045112781955,15.4927536231884,1.06520162628795,1.08791811622179,6.46428571428571,3.10416666666667,0,0,0,0,0,0,0,-0.266659745474355,-0.158311491776729,0.0462606978952354,0.176603516499397
0.608695652173913,1,9.82905982905983,14.128,15.1571428571429,17.1865671641791,1.01695474283085,1.09607918217376,5.9811320754717,5.11111111111111,0,0,0,0,0,0,0,-0.348294309113129,-0.221819512661732,-0.0464116870177498,0.00997399515670277
0.977011494252874,1,12.411214953271,14.5447154471545,14.486301369863,17.968253968254,1.11658795341914,1.28696372880279,6.58252427184466,4.41176470588235,0,0,0,0,0,0,0,-0.229780407277301,-0.185576562915766,-0.135966618026821,0.0574984778473148
1.6875,0,17.0366972477064,14.6666666666667,16.6692307692308,18.6776859504132,1.21188796002238,1.10505494916605,6.53333333333333,7.28985507246377,0,0,0,0,0,0,0,-0.0684501440518106,-0.199820734707714,0.122222613657013,-0.0115299402958647
0.531645569620253,1,18.712962962963,14.6854838709677,18.4634146341463,18.8740157480315,1.13412597935581,1.11245351227723,6.52272727272727,5.6,0,0,0,0,0,0,0,-0.127317764926264,-0.229794950599391,0.0877172046179358,0.0315168838867317
1.02020202020202,1,17.9411764705882,17.2118644067797,19.0854700854701,19.3333333333333,1.12191188385308,1.14087892737795,7.24050632911392,12.1428571428571,0,0,0,1,0,0,0,-0.229676950460028,-0.166431527425794,-0.00865021811643765,-0.0787509115027388
1,1,21.52,18.3362831858407,18.3252032520325,19.9430894308943,1.10980062758434,1.51023827870929,6.95161290322581,8.09090909090909,0,0,0,0,0,0,0,-0.24170605964348,-0.102065079763391,-0.269269016338617,0.00848948187086324
1.75700934579439,0,26.6875,17.8660714285714,20.8879310344828,20.758064516129,1.48367571492228,1.12702689264942,7.51351351351351,6.01785714285714,1,0,0,0,0,0,0,0.230911109011736,-0.1923018781938,0.224580930952636,0.0323078133999422
1.75,0,26.4533333333333,26.3793103448276,24.0714285714286,22.3388429752066,1.1259567048127,1.10292241554206,8.225,5.27272727272727,0,0,0,0,0,0,0,-0.17295492797791,-0.235882429319302,0.0831397746836427,0.0873227379940764
0.531645569620253,4,23.2134831460674,37.45,25.1160714285714,23.109243697479,1.084583115372,1.84270525333866,5.52,9.66666666666667,0,0,0,0,0,0,0,-0.278883919471126,0.831230525280838,-0.668516897562804,-0.0831007605370544
1,1,25.7692307692308,27.1363636363636,28.2117647058824,25.6422018348624,1.26767744630275,1.05025188813959,7.09090909090909,5.4,0,0,0,0,0,0,0,-0.0128832719595522,-0.296710675325781,0.179901602334185,0.0325343519886547
3.3125,2,24.7176470588235,25.7948717948718,34.4230769230769,26.6595744680851,0.993149966540457,1.0723547415922,3.8,5,0,0,0,0,0,0,0,-0.419526000594127,-0.31684597028101,-0.0791536524601174,0.0828833241660774
0.619047619047619,1,21.8556701030928,35.4,37.0555555555556,25.6111111111111,1.06174560954566,1.79226734100726,1.75,12.8,0,0,1,1,1,0,0,-0.388948791900827,0.628532404211521,-0.56867016302309,-0.2768257351285
0.977011494252874,3,21.0196078431373,36.6590909090909,36.6666666666667,23.1935483870968,1.06333837689671,1.60488736044657,1.59090909090909,6.625,0,0,1,0,0,0,0,-0.372454676159834,0.698368298368298,-0.471950434452848,-0.0190512257481108
1.6875,1,24.0674157303371,34.3913043478261,36.3837209302326,30.4657534246575,1.01760880839434,1.34621343010601,2.17391304347826,7.72131147540984,0,0,0,0,0,0,0,-0.436147633826505,0.410834844168178,-0.325402078074979,-0.0635144221149514
0.531645569620253,2,29.0307692307692,27.9295774647887,36.6216216216216,37.1733333333333,1.13211202173577,1.07723440664885,5.71794871794872,4.56862745098039,0,0,0,0,0,0,0,-0.131929699152743,-0.353469931072122,0.0914091310540788,0.0261343109759167
1.02020202020202,0,33.4615384615385,24.8877551020408,39.0519480519481,38.4142857142857,1.15423644458549,1.036273898417,5.1,5.78,0,0,0,0,0,1,0,-0.209316833030001,-0.387053901226361,0.105675870685733,-0.00471801961425194
1,0,30.85,23.5940594059406,40.1351351351351,40.955223880597,1.07683884154793,0.89025945242525,5.80412371134021,3.25,0,0,0,0,0,0,0,-0.34324244528764,-0.587528333585524,0.168536200315296,0.04912219293128
1.75700934579439,1,35.8958333333333,24.2934782608696,40.3108108108108,40.3541666666667,1.22463396775863,1.02229325135212,5.09722222222222,7.5,0,0,0,0,0,0,0,-0.154928370136652,-0.472919393782564,0.13796836849769,-0.0383152860128676
1.75,0,31.4117647058824,23.8315789473684,41.3134328358209,43.5106382978723,1.09037099253054,0.809206920485779,8,1.71428571428571,0,0,0,0,0,1,1,-0.29881019343525,-0.695741248776693,0.244744503949515,0.103153706909799
0.575,2,34.3709677419355,30.4354838709677,42.1587301587302,41.7179487179487,1.21607940703766,1.04552117304919,3.5,7.17647058823529,0,0,0,0,0,0,0,-0.211083258002647,-0.320632009352491,0.136015021818638,-0.078547252331207
2.48,2,30.7358490566038,34.4406779661017,41.241935483871,38.21875,1.09834148074152,1.23231476109228,8.35294117647059,5.95744680851064,0,0,0,0,0,0,0,-0.274008089887418,-0.0633350359468951,-0.0773504535813613,0.0229041478868068
2.33333333333333,0,31.2222222222222,35.6415094339623,41.3134328358209,37.1571428571429,1.09752760414524,1.21192342801575,7.6875,6.90909090909091,0,0,0,0,0,0,0,-0.286912709565962,-0.0565153409413558,-0.0278047427527043,0.0163207469645381
1.04761904761905,0,59.7142857142857,34.3018867924528,42.5245901639344,42.3225806451613,1.56018078824682,1.16692025310655,4.21052631578947,11.2352941176471,0,0,1,0,0,0,0,0.144233857945573,-0.205060822109185,0.248632746506528,-0.0572601949151084
1.72,2,39,39,45.6,46.6666666666667,1.03947368421053,1.02928475033738,11.25,9.8,1,0,0,0,0,0,0,-0.232365203262517,-0.309777056335163,0.115448071965871,0.0232968812192662
0.987654320987654,0,1.33333333333333,3,2.8,0,0.126923076923077,0,1.33333333333333,1.81818181818182,0,0,0,0,0,0,0,-0.134415733586322,-0.130922090450178,0.0605629128959737,0.0625
0.550724637681159,0,6.71052631578947,6.02631578947368,8,6.65277777777778,0.45,1.5,1.57894736842105,3.7037037037037,0,0,0,0,0,0,0,-0.112460407418083,0.282204675404293,-1,-1
0.557377049180328,1,7.20238095238095,6.94252873563218,8.16867469879518,7.01298701298701,0.596190476190476,1.57844480115692,2.58823529411765,6.43373493975904,0,0,0,0,0,0,0,-0.35685023878803,0.344299301888588,-1.5,-1.5
