index,value
0,
1,
2,
3,
4,
5,9.818181818181818
6,10.090909090909092
7,10.0
8,9.0
9,9.181818181818182
10,9.090909090909092
11,9.090909090909092
12,9.0
13,8.636363636363637
14,8.363636363636363
15,8.636363636363637
16,8.545454545454545
17,8.818181818181818
18,8.727272727272727
19,9.454545454545455
20,9.181818181818182
21,8.818181818181818
22,8.727272727272727
23,8.454545454545455
24,8.090909090909092
25,8.0
26,8.272727272727273
27,8.636363636363637
28,8.272727272727273
29,8.727272727272727
30,8.181818181818182
31,8.363636363636363
32,8.545454545454545
33,8.818181818181818
34,8.818181818181818
35,8.363636363636363
36,8.636363636363637
37,8.090909090909092
38,7.7272727272727275
39,8.090909090909092
40,7.7272727272727275
41,8.363636363636363
42,8.636363636363637
43,8.636363636363637
44,8.363636363636363
45,8.181818181818182
46,8.454545454545455
47,8.636363636363637
48,8.454545454545455
49,8.363636363636363
50,8.454545454545455
51,8.454545454545455
52,8.181818181818182
53,8.090909090909092
54,8.181818181818182
55,8.545454545454545
56,9.545454545454545
57,10.090909090909092
58,9.636363636363637
59,10.090909090909092
60,9.818181818181818
61,9.909090909090908
62,10.090909090909092
63,10.0
64,10.090909090909092
65,10.363636363636363
66,10.727272727272727
67,9.909090909090908
68,9.818181818181818
69,9.454545454545455
70,9.181818181818182
71,9.636363636363637
72,8.818181818181818
73,8.363636363636363
74,8.727272727272727
75,8.090909090909092
76,8.0
77,7.636363636363637
78,7.7272727272727275
79,7.818181818181818
80,7.909090909090909
81,7.7272727272727275
82,8.0
83,8.545454545454545
84,8.545454545454545
85,7.818181818181818
86,8.090909090909092
87,7.818181818181818
88,7.636363636363637
89,8.0
90,7.818181818181818
91,7.7272727272727275
92,7.909090909090909
93,7.636363636363637
94,7.636363636363637
95,7.545454545454546
96,7.818181818181818
97,8.363636363636363
98,8.181818181818182
99,8.363636363636363
100,7.636363636363637
101,7.363636363636363
102,7.818181818181818
103,7.636363636363637
104,8.0
105,7.454545454545454
106,8.090909090909092
107,7.7272727272727275
108,7.181818181818182
109,7.7272727272727275
110,7.7272727272727275
111,7.7272727272727275
112,7.818181818181818
113,7.363636363636363
114,7.454545454545454
115,6.636363636363637
116,7.090909090909091
117,6.7272727272727275
118,8.0
119,8.272727272727273
120,8.0
121,7.454545454545454
122,7.363636363636363
123,7.363636363636363
124,8.090909090909092
125,8.272727272727273
126,8.636363636363637
127,8.727272727272727
128,9.272727272727273
129,8.090909090909092
130,7.818181818181818
131,7.363636363636363
132,7.7272727272727275
133,8.090909090909092
134,7.909090909090909
135,7.818181818181818
136,8.090909090909092
137,8.454545454545455
138,8.727272727272727
139,8.181818181818182
140,8.636363636363637
141,9.272727272727273
142,9.636363636363637
143,9.363636363636363
144,9.727272727272727
145,10.545454545454545
146,10.272727272727273
147,10.272727272727273
148,10.181818181818182
149,9.272727272727273
