index,value
799,8
800,8
801,9
802,10
803,7
804,13
805,15
806,11
807,9
808,11
809,15
810,8
811,11
812,9
813,5
814,9
815,11
816,17
817,6
818,11
819,12
820,11
821,11
822,8
823,4
824,10
825,7
826,11
827,11
828,7
829,10
830,10
831,7
832,12
833,8
834,17
835,6
836,5
837,8
838,7
839,6
840,8
841,11
842,9
843,5
844,7
845,7
846,7
847,8
848,9
849,10
850,8
851,8
852,11
853,11
854,9
855,9
856,12
857,15
858,13
859,12
860,8
861,10
862,16
863,7
864,11
865,5
866,10
867,11
868,10
869,14
870,4
871,8
872,9
873,7
874,6
875,9
876,17
877,11
878,5
879,8
880,12
881,10
882,8
883,13
884,9
885,5
886,12
887,7
888,14
889,10
890,9
891,5
892,12
893,5
894,10
895,6
896,6
897,11
898,8
899,11
900,9
901,8
902,6
903,16
904,13
905,13
906,18
907,7
908,10
909,16
910,10
911,12
912,11
913,12
914,15
915,3
916,12
917,10
918,5
919,18
920,20
921,8
922,4
923,9
924,8
925,16
926,12
927,6
928,7
929,8
930,6
931,13
932,8
933,8
934,5
935,8
936,4
937,7
938,7
939,10
940,15
941,8
942,4
943,10
944,11
945,6
946,11
947,8
948,10
949,12
950,6
951,13
952,9
953,4
954,6
955,7
956,9
957,8
958,7
959,6
960,7
961,5
962,7
963,8
964,7
965,6
966,6
967,7
968,15
969,9
970,10
971,8
972,10
973,3
974,8
975,14
976,10
977,8
978,5
979,9
980,9
981,8
982,6
983,14
984,11
985,4
986,7
987,9
988,10
989,9
990,11
991,9
992,11
993,10
994,11
995,9
996,12
997,10
998,12
999,12
1000,8
1001,9
1002,12
1003,12
1004,6
1005,8
1006,6
1007,9
1008,5
1009,5
1010,13
1011,8
1012,14
1013,8
1014,7
1015,9
1016,8
1017,4
1018,9
1019,6
1020,9
1021,15
1022,6
1023,11
1024,8
1025,9
1026,12
1027,8
1028,10
1029,6
1030,6
1031,8
1032,10
1033,8
1034,7
1035,15
1036,8
1037,9
1038,8
1039,9
1040,8
1041,9
1042,10
1043,3
1044,7
1045,12
1046,11
1047,15
1048,6
1049,6
1050,9
1051,7
1052,5
1053,4
1054,7
1055,4
1056,9
1057,8
1058,8
1059,9
1060,6
1061,6
1062,14
1063,8
1064,14
1065,12
1066,6
1067,6
1068,6
1069,1
1070,9
1071,5
1072,5
1073,9
1074,13
1075,9
1076,9
1077,4
1078,13
1079,8
1080,12
1081,8
1082,6
1083,8
1084,8
1085,10
1086,9
1087,15
1088,12
1089,6
1090,13
1091,7
1092,7
1093,7
1094,9
1095,12
1096,19
1097,5
1098,6
1099,9
1100,5
1101,6
1102,8
1103,12
1104,4
1105,5
1106,9
1107,6
1108,5
1109,13
1110,8
1111,11
1112,17
1113,9
1114,13
1115,14
1116,5
1117,1
1118,5
1119,13
1120,6
1121,9
1122,5
1123,11
1124,9
1125,9
1126,10
1127,9
1128,12
1129,12
1130,11
1131,8
1132,7
1133,7
1134,11
1135,10
1136,8
1137,9
1138,12
1139,6
1140,19
1141,15
1142,8
1143,8
1144,10
1145,12
1146,13
1147,14
1148,9
1149,8
1150,12
1151,12
1152,12
1153,7
1154,13
1155,9
1156,6
1157,13
1158,11
1159,8
1160,8
1161,12
1162,9
1163,9
1164,8
1165,6
1166,11
1167,9
1168,10
1169,8
1170,10
1171,9
1172,10
1173,7
1174,10
1175,8
1176,9
1177,5
1178,13
1179,10
1180,13
1181,15
1182,13
1183,7
1184,11
1185,7
1186,12
1187,5
1188,7
1189,9
1190,4
1191,10
1192,10
1193,15
1194,7
1195,9
1196,8
1197,9
1198,10
1199,10
1200,6
1201,9
1202,4
1203,5
1204,7
1205,3
1206,14
1207,7
1208,10
1209,6
1210,12
1211,7
1212,6
1213,13
1214,5
1215,11
1216,7
1217,11
1218,11
1219,12
1220,7
1221,9
1222,12
1223,10
1224,8
1225,6
1226,7
1227,5
1228,6
1229,6
1230,8
1231,4
1232,10
1233,10
1234,5
1235,5
1236,10
1237,11
1238,7
1239,7
1240,4
1241,10
1242,11
1243,10
1244,7
1245,6
1246,3
1247,3
1248,2
1249,10
1250,9
1251,10
1252,14
1253,2
1254,7
1255,8
1256,6
1257,6
1258,4
1259,7
1260,8
1261,16
1262,8
1263,7
1264,10
1265,4
1266,13
1267,6
1268,9
1269,5
1270,8
1271,7
1272,13
1273,4
1274,8
1275,10
1276,14
1277,8
1278,10
1279,5
1280,9
1281,11
1282,8
1283,7
1284,8
1285,10
1286,9
1287,12
1288,4
1289,7
1290,7
1291,3
1292,8
1293,5
1294,7
1295,10
1296,9
1297,15
1298,6
1299,4
1300,7
1301,7
1302,11
1303,4
1304,7
1305,8
1306,10
1307,8
1308,7
1309,8
1310,8
1311,5
1312,9
1313,9
1314,12
1315,11
1316,8
1317,2
1318,9
1319,2
1320,8
1321,11
1322,13
1323,7
1324,5
1325,12
1326,5
1327,8
1328,9
1329,7
1330,10
1331,6
1332,5
1333,7
1334,8
1335,7
1336,6
1337,9
1338,5
1339,7
1340,3
1341,9
1342,6
1343,5
1344,5
1345,7
1346,6
1347,5
1348,8
1349,11
1350,5
1351,9
1352,6
1353,4
1354,8
1355,7
1356,8
1357,6
1358,10
1359,11
1360,4
1361,4
1362,5
1363,5
1364,13
1365,1
1366,9
1367,6
1368,5
1369,3
1370,4
1371,8
1372,4
1373,12
1374,6
1375,4
1376,11
1377,8
1378,6
1379,7
1380,5
1381,10
1382,5
1383,5
1384,5
1385,8
1386,6
1387,4
1388,1
1389,6
1390,4
1391,5
1392,12
1393,5
1394,12
1395,9
1396,5
1397,5
1398,10
1399,4
1400,9
1401,10
1402,3
1403,10
1404,6
1405,7
1406,4
1407,5
1408,10
1409,6
1410,7
1411,7
1412,8
1413,5
1414,2
1415,8
1416,8
1417,4
1418,4
1419,9
1420,9
1421,6
1422,7
1423,6
1424,11
1425,14
1426,12
1427,10
1428,4
1429,8
1430,8
1431,12
1432,5
1433,2
1434,3
1435,5
1436,11
1437,7
1438,10
1439,12
1440,10
1441,5
1442,2
1443,10
1444,8
1445,8
1446,12
1447,14
1448,12
1449,8
1450,9
1451,7
1452,8
1453,8
1454,6
1455,10
1456,6
1457,5
1458,7
1459,12
1460,7
1461,6
1462,7
1463,10
1464,8
1465,3
1466,2
1467,7
1468,6
1469,4
1470,3
1471,10
1472,7
1473,12
1474,7
1475,10
1476,9
1477,12
1478,14
1479,5
1480,9
1481,11
1482,3
1483,7
1484,4
1485,10
1486,4
1487,9
1488,4
1489,9
1490,4
1491,7
1492,7
1493,7
1494,10
1495,7
1496,9
1497,11
1498,6
1499,5
1500,10
1501,9
1502,4
1503,7
1504,6
1505,13
1506,10
1507,12
1508,5
1509,5
1510,10
1511,12
1512,10
1513,2
1514,4
1515,5
1516,6
1517,7
1518,7
1519,8
1520,3
1521,8
1522,5
1523,7
1524,6
1525,12
1526,10
1527,8
1528,10
1529,10
1530,9
1531,11
1532,3
1533,11
1534,9
1535,5
1536,7
1537,9
1538,14
1539,8
1540,6
1541,5
1542,15
1543,4
1544,5
1545,8
1546,4
1547,12
1548,9
1549,1
1550,7
1551,3
1552,7
1553,9
1554,6
1555,9
1556,5
1557,9
1558,7
1559,4
1560,7
1561,9
1562,11
1563,9
1564,10
1565,8
1566,7
1567,6
1568,4
1569,7
1570,8
1571,7
1572,9
1573,11
1574,6
1575,8
1576,5
1577,6
1578,8
1579,12
1580,10
1581,10
1582,5
1583,4
1584,10
1585,9
1586,6
1587,9
1588,3
1589,12
1590,6
1591,7
1592,8
1593,6
1594,5
1595,12
1596,9
1597,7
1598,6
1599,12
1600,9
1601,8
1602,10
1603,10
1604,8
1605,6
1606,8
1607,7
1608,7
1609,6
1610,12
1611,7
1612,7
1613,5
1614,10
1615,10
1616,11
1617,10
1618,6
1619,14
1620,6
1621,10
1622,12
1623,7
1624,8
1625,13
1626,6
1627,7
1628,10
1629,5
1630,9
1631,4
1632,6
1633,7
1634,7
1635,13
1636,10
1637,16
1638,10
1639,12
1640,12
1641,9
1642,5
1643,9
1644,6
1645,7
1646,4
1647,7
1648,9
1649,8
1650,6
1651,10
1652,8
1653,2
1654,5
1655,8
1656,9
1657,7
1658,8
1659,8
1660,12
1661,10
1662,14
1663,3
1664,9
1665,5
1666,4
1667,6
1668,7
1669,8
1670,5
1671,10
1672,5
1673,7
1674,4
1675,8
1676,12
1677,7
1678,9
1679,15
1680,9
1681,11
1682,15
1683,10
1684,3
1685,8
1686,10
1687,6
1688,8
1689,12
1690,8
1691,4
1692,8
1693,4
1694,3
1695,5
1696,6
1697,3
1698,11
1699,2
1700,7
1701,11
1702,5
1703,8
1704,7
1705,7
1706,8
1707,8
1708,2
1709,4
1710,4
1711,4
1712,4
1713,5
1714,8
1715,3
1716,9
1717,8
1718,6
1719,3
1720,0
1721,3
1722,4
1723,12
1724,5
1725,5
1726,5
1727,5
1728,4
1729,6
1730,6
1731,3
1732,8
1733,6
1734,3
1735,6
1736,7
1737,5
1738,9
1739,8
1740,10
1741,8
1742,2
1743,4
1744,5
1745,2
1746,6
1747,3
1748,1
1749,1
1750,4
1751,8
1752,12
1753,10
1754,9
1755,7
1756,12
1757,8
1758,6
1759,10
1760,3
1761,10
1762,5
1763,11
1764,6
1765,6
1766,13
1767,8
1768,7
1769,10
1770,10
1771,6
1772,10
1773,6
1774,9
1775,15
1776,6
1777,8
1778,5
1779,7
1780,6
1781,9
1782,6
1783,8
1784,9
1785,5
1786,6
1787,7
1788,9
1789,6
1790,6
1791,2
1792,7
1793,7
1794,6
1795,8
1796,8
1797,7
1798,5
1799,8
1800,6
1801,6
1802,9
1803,8
1804,5
1805,6
1806,7
1807,5
1808,4
1809,1
1810,5
1811,9
1812,9
1813,7
1814,7
1815,10
1816,9
1817,11
1818,13
1819,8
1820,8
1821,7
1822,10
1823,9
1824,9
1825,10
1826,5
1827,8
1828,9
1829,10
1830,6
1831,6
1832,8
1833,9
1834,7
1835,10
1836,9
1837,4
1838,6
1839,10
1840,11
1841,13
1842,7
1843,6
1844,5
1845,10
1846,6
1847,7
1848,7
1849,12
1850,11
1851,10
1852,9
1853,8
1854,11
1855,6
1856,5
1857,5
1858,8
1859,4
1860,7
1861,7
1862,5
1863,5
1864,7
1865,8
1866,6
1867,5
1868,9
1869,6
1870,11
1871,9
1872,6
1873,10
1874,10
1875,9
1876,14
1877,6
1878,10
1879,6
1880,2
1881,7
1882,10
1883,8
1884,5
1885,4
1886,7
1887,4
1888,12
1889,3
1890,6
1891,2
1892,11
1893,10
1894,4
1895,10
1896,8
1897,7
1898,9
1899,4
1900,16
1901,9
1902,10
1903,4
1904,7
1905,4
1906,6
1907,9
1908,6
1909,11
1910,11
1911,6
1912,6
1913,6
1914,17
1915,5
1916,4
1917,6
1918,4
1919,8
1920,8
1921,8
1922,4
1923,8
1924,10
1925,7
1926,8
1927,3
1928,9
1929,10
1930,5
1931,10
1932,8
1933,5
1934,8
1935,6
1936,16
1937,8
1938,9
1939,5
1940,10
1941,6
1942,8
1943,13
1944,11
1945,5
1946,8
1947,6
1948,12
1949,3
1950,11
1951,7
1952,10
1953,11
1954,12
1955,7
1956,11
1957,9
1958,6
1959,7
1960,7
1961,7
1962,9
1963,8
1964,9
1965,6
1966,8
1967,12
1968,13
1969,7
1970,8
1971,11
1972,6
1973,13
1974,5
1975,4
1976,5
1977,5
1978,4
1979,8
1980,4
1981,4
1982,9
1983,5
1984,4
1985,9
1986,13
1987,10
1988,16
1989,6
1990,7
1991,8
1992,5
1993,8
1994,4
1995,9
1996,10
1997,12
1998,5
1999,8
2000,13
2001,5
2002,10
2003,6
2004,8
2005,4
2006,6
2007,10
2008,8
2009,2
2010,9
2011,6
2012,11
2013,4
2014,9
2015,5
2016,5
2017,11
2018,8
2019,7
2020,8
2021,12
2022,13
2023,13
2024,11
2025,8
2026,16
2027,6
2028,12
2029,11
2030,10
2031,8
2032,10
2033,10
2034,7
2035,8
2036,12
2037,4
2038,11
2039,7
2040,8
2041,9
2042,7
2043,8
2044,9
2045,7
2046,6
2047,12
2048,10
2049,7
2050,4
2051,7
2052,7
2053,6
2054,4
2055,9
2056,7
2057,9
2058,5
2059,8
2060,8
2061,4
2062,5
2063,8
2064,6
2065,6
2066,12
2067,7
2068,7
2069,10
2070,6
2071,10
2072,5
2073,12
2074,10
2075,13
2076,7
2077,12
2078,13
2079,8
2080,6
2081,15
2082,9
2083,8
2084,5
2085,8
2086,16
2087,10
2088,8
2089,11
2090,7
2091,8
2092,13
2093,11
2094,7
2095,11
2096,9
2097,2
2098,13
2099,11
2100,13
2101,7
2102,14
2103,16
2104,11
2105,5
2106,5
2107,5
2108,5
2109,10
2110,6
2111,8
2112,7
2113,6
2114,8
2115,7
2116,11
2117,7
2118,8
2119,7
2120,9
2121,9
2122,9
2123,5
2124,5
2125,15
2126,6
2127,6
2128,10
2129,8
2130,7
2131,3
2132,6
2133,6
2134,9
2135,5
2136,5
2137,7
2138,2
2139,7
2140,8
2141,6
2142,2
2143,4
2144,6
2145,8
2146,13
2147,8
2148,7
2149,9
2150,10
2151,8
2152,4
2153,9
2154,8
2155,6
2156,12
2157,10
2158,4
2159,16
2160,12
2161,11
2162,11
2163,6
2164,7
2165,9
2166,4
2167,3
2168,13
2169,9
2170,7
2171,8
2172,4
2173,4
2174,4
2175,7
2176,6
2177,5
2178,9
2179,5
2180,2
2181,3
2182,11
2183,8
2184,9
2185,8
2186,4
2187,12
2188,6
2189,9
2190,8
2191,7
2192,9
2193,4
2194,10
2195,10
2196,9
2197,5
2198,8
2199,5
2200,8
2201,10
2202,12
2203,10
2204,13
2205,10
2206,7
2207,2
2208,8
2209,9
2210,6
2211,4
2212,5
2213,7
2214,6
2215,5
2216,7
2217,6
2218,9
2219,8
2220,11
2221,6
2222,8
2223,7
2224,4
2225,3
2226,3
2227,11
2228,5
2229,6
2230,9
2231,6
2232,8
2233,12
2234,3
2235,9
2236,8
2237,5
2238,6
2239,5
2240,8
2241,6
2242,7
2243,6
2244,6
2245,6
2246,7
2247,9
2248,7
2249,8
2250,8
2251,10
2252,10
2253,9
2254,7
2255,8
2256,2
2257,9
2258,6
2259,9
2260,6
2261,10
2262,1
2263,8
2264,6
2265,6
2266,8
2267,6
2268,6
2269,8
2270,2
2271,2
2272,7
2273,6
2274,5
2275,5
2276,10
2277,3
2278,9
2279,7
2280,5
2281,10
2282,4
2283,5
2284,0
2285,4
2286,8
2287,3
2288,4
2289,6
2290,6
2291,6
2292,4
2293,12
2294,7
2295,11
2296,8
2297,5
2298,7
2299,2
2300,7
2301,4
2302,9
2303,5
2304,8
2305,4
2306,12
2307,7
2308,6
2309,7
2310,4
2311,6
2312,9
2313,3
2314,3
2315,5
2316,4
2317,4
2318,5
2319,6
2320,2
2321,2
2322,4
2323,9
2324,4
2325,6
2326,7
2327,9
2328,12
2329,4
2330,6
2331,6
2332,7
2333,11
2334,10
2335,9
2336,6
2337,5
2338,7
2339,10
2340,5
2341,6
2342,6
2343,11
2344,10
2345,11
2346,5
2347,7
2348,11
2349,11
2350,5
2351,7
2352,4
2353,10
2354,13
2355,6
2356,9
2357,4
2358,2
2359,4
2360,5
2361,9
2362,4
2363,10
2364,12
2365,7
2366,11
2367,5
2368,3
2369,7
2370,5
2371,5
2372,7
2373,6
2374,7
2375,7
2376,6
2377,9
2378,5
2379,2
2380,6
2381,9
2382,9
2383,9
2384,5
2385,8
2386,7
2387,6
2388,7
2389,9
2390,0
2391,9
2392,10
2393,5
2394,8
2395,6
2396,9
2397,2
2398,10
2399,5
2400,6
2401,10
2402,7
2403,9
2404,8
2405,5
2406,6
2407,9
2408,7
2409,2
2410,6
2411,6
2412,8
2413,5
2414,4
