original,rolling_average,gaussian,savitzky_golay,convolution,median
44.89801741,44.89977001636363,44.897957194970544,44.89809763757587,44.89977001636364,44.89801741
44.85741017,44.86528436272727,44.858855472955035,44.8598124213521,44.86528436272727,44.85741017
44.82013243,44.83151479,44.82204132042735,44.82250098358986,44.83151479,44.82013243
44.78729978,44.79844932545455,44.788185772285686,44.78756193058287,44.79844932545455,44.78729978
44.75562153,44.76679914090909,44.75675342294931,44.75535246386958,44.76679914090909,44.75562153
44.72649695,44.73684096181818,44.72735321166569,44.725985791888235,44.73684096181818,44.72649695
44.69897411,44.70827359727272,44.69982530115492,44.69950525345,44.70827359727272,44.69897411
44.67288057,44.68119724636364,44.674333944456635,44.67480728902109,44.68119724636363,44.67288057
44.65000308,44.65520873909091,44.65118692786288,44.65132416729615,44.65520873909091,44.65000308
44.63022433,44.63013780090909,44.629465493644965,44.62842241151526,44.63013780090909,44.63022433
44.60819022,44.60614515363636,44.6072051406951,44.60540548825186,44.60614515363636,44.60819022
44.5837764,44.58300287272727,44.58363381516234,44.5823611822845,44.58300287272727,44.5837764
44.55957031,44.560649184545454,44.5593462986887,44.559217178484964,44.56064918454546,44.55957031
44.53425885,44.53897676727273,44.535310484672316,44.5360424811423,44.53897676727273,44.53425885
44.51151946,44.51768304,44.512747434373644,44.51335585526819,44.51768304,44.51151946
44.49170241,44.496564717272726,44.49197564595762,44.49187018032646,44.49656471727273,44.49170241
44.47193186,44.47588212363637,44.47229972499421,44.47164685358986,44.47588212363637,44.47193186
44.45308354,44.45588689,44.453230035753975,44.45241645643368,44.455886889999995,44.45308354
44.43448398,44.43660355,44.434520682362326,44.434019357459334,44.43660355,44.43448398
44.41577208,44.418165300000005,44.416120444347236,44.415932601049064,44.418165300000005,44.41577208
44.39792278,44.40036787727273,44.398224974711994,44.398103922028085,44.40036787727272,44.39792278
44.38068169,44.38313256727273,44.380897397815815,44.380617198624826,44.383132567272725,44.38068169
44.36382883,44.36665386727273,44.36405469094083,44.36342959489522,44.366653867272724,44.36382883
44.34745357,44.35096952545455,44.34764712926424,44.34684745097914,44.35096952545455,44.34745357
44.3314381,44.33622132909091,44.331722024886275,44.331080750885896,44.33622132909091,44.3314381
44.31574781,44.32249284636364,44.3166630977829,44.316370628181936,44.32249284636364,44.31574781
44.302114,44.30977294818182,44.303134141708185,44.30299820400944,44.30977294818182,44.302114
44.29066616,44.29815637,44.291419027393495,44.291061137482636,44.29815637000001,44.29066616
44.28055578,44.28773931272727,44.2813635984537,44.280634182424365,44.28773931272727,44.28055578
44.27225382,44.278020240000004,44.272723143177735,44.27228295247099,44.278020240000004,44.27225382
