index,value
799,9
800,10
801,10
802,9
803,10
804,10
805,10
806,11
807,11
808,11
809,11
810,11
811,11
812,9
813,11
814,11
815,11
816,11
817,11
818,11
819,11
820,11
821,11
822,11
823,11
824,10
825,10
826,10
827,10
828,10
829,10
830,10
831,10
832,8
833,8
834,8
835,8
836,8
837,8
838,8
839,7
840,7
841,7
842,7
843,7
844,8
845,8
846,8
847,8
848,8
849,8
850,9
851,9
852,9
853,10
854,11
855,11
856,11
857,11
858,11
859,11
860,11
861,11
862,11
863,10
864,10
865,10
866,10
867,10
868,9
869,9
870,9
871,9
872,9
873,9
874,8
875,8
876,9
877,9
878,9
879,9
880,9
881,10
882,9
883,9
884,10
885,10
886,9
887,9
888,9
889,9
890,9
891,9
892,9
893,9
894,9
895,9
896,8
897,8
898,8
899,9
900,9
901,11
902,11
903,10
904,11
905,10
906,12
907,12
908,12
909,12
910,12
911,12
912,11
913,11
914,12
915,12
916,12
917,11
918,10
919,9
920,9
921,10
922,9
923,8
924,8
925,8
926,8
927,8
928,8
929,8
930,8
931,8
932,7
933,7
934,8
935,8
936,8
937,8
938,8
939,8
940,8
941,8
942,8
943,10
944,10
945,10
946,10
947,10
948,10
949,9
950,8
951,9
952,8
953,8
954,7
955,7
956,7
957,7
958,7
959,7
960,7
961,7
962,7
963,7
964,7
965,7
966,7
967,8
968,8
969,8
970,8
971,9
972,9
973,9
974,9
975,9
976,8
977,8
978,8
979,9
980,9
981,8
982,8
983,9
984,9
985,9
986,9
987,9
988,10
989,10
990,9
991,10
992,10
993,10
994,11
995,11
996,10
997,11
998,11
999,11
1000,10
1001,10
1002,9
1003,9
1004,8
1005,8
1006,8
1007,8
1008,8
1009,8
1010,8
1011,8
1012,8
1013,8
1014,8
1015,8
1016,8
1017,8
1018,8
1019,8
1020,9
1021,9
1022,9
1023,9
1024,9
1025,9
1026,8
1027,8
1028,8
1029,8
1030,8
1031,8
1032,8
1033,8
1034,8
1035,8
1036,8
1037,9
1038,8
1039,8
1040,9
1041,9
1042,9
1043,9
1044,9
1045,9
1046,9
1047,7
1048,7
1049,7
1050,7
1051,7
1052,7
1053,7
1054,7
1055,7
1056,7
1057,7
1058,8
1059,8
1060,8
1061,8
1062,8
1063,8
1064,6
1065,6
1066,6
1067,6
1068,6
1069,6
1070,6
1071,6
1072,6
1073,9
1074,9
1075,9
1076,9
1077,9
1078,9
1079,8
1080,8
1081,8
1082,8
1083,9
1084,8
1085,9
1086,8
1087,8
1088,8
1089,9
1090,9
1091,9
1092,9
1093,7
1094,7
1095,7
1096,7
1097,7
1098,8
1099,8
1100,6
1101,6
1102,6
1103,6
1104,6
1105,6
1106,8
1107,8
1108,9
1109,9
1110,9
1111,9
1112,9
1113,9
1114,11
1115,9
1116,9
1117,9
1118,9
1119,9
1120,9
1121,9
1122,9
1123,9
1124,9
1125,9
1126,9
1127,9
1128,9
1129,9
1130,10
1131,10
1132,9
1133,10
1134,9
1135,9
1136,9
1137,9
1138,9
1139,10
1140,10
1141,10
1142,12
1143,12
1144,10
1145,12
1146,12
1147,12
1148,12
1149,12
1150,12
1151,12
1152,12
1153,11
1154,11
1155,11
1156,11
1157,9
1158,9
1159,9
1160,9
1161,9
1162,9
1163,9
1164,9
1165,9
1166,9
1167,9
1168,9
1169,9
1170,9
1171,9
1172,9
1173,9
1174,9
1175,10
1176,10
1177,10
1178,10
1179,10
1180,10
1181,11
1182,11
1183,11
1184,10
1185,9
1186,9
1187,9
1188,9
1189,9
1190,9
1191,9
1192,9
1193,9
1194,9
1195,9
1196,9
1197,9
1198,9
1199,8
1200,8
1201,8
1202,7
1203,7
1204,7
1205,7
1206,7
1207,7
1208,7
1209,7
1210,7
1211,7
1212,7
1213,10
1214,11
1215,11
1216,9
1217,11
1218,11
1219,10
1220,10
1221,9
1222,9
1223,8
1224,7
1225,7
1226,7
1227,7
1228,7
1229,6
1230,6
1231,6
1232,6
1233,7
1234,7
1235,7
1236,7
1237,10
1238,10
1239,7
1240,7
1241,7
1242,7
1243,7
1244,7
1245,7
1246,9
1247,9
1248,7
1249,7
1250,7
1251,7
1252,7
1253,7
1254,7
1255,7
1256,7
1257,7
1258,7
1259,7
1260,7
1261,7
1262,7
1263,8
1264,8
1265,8
1266,8
1267,8
1268,7
1269,8
1270,8
1271,8
1272,8
1273,8
1274,8
1275,8
1276,9
1277,9
1278,8
1279,8
1280,9
1281,9
1282,9
1283,9
1284,8
1285,8
1286,8
1287,8
1288,7
1289,7
1290,7
1291,7
1292,7
1293,7
1294,7
1295,7
1296,7
1297,7
1298,7
1299,7
1300,7
1301,7
1302,7
1303,7
1304,7
1305,8
1306,8
1307,8
1308,8
1309,8
1310,8
1311,8
1312,8
1313,8
1314,8
1315,8
1316,9
1317,9
1318,9
1319,8
1320,8
1321,8
1322,8
1323,8
1324,8
1325,8
1326,8
1327,7
1328,7
1329,7
1330,7
1331,7
1332,7
1333,7
1334,7
